Zach Wilson,30,566,837,67.6,7652,56,15,162.9
Quinton Flowers,43,565,980,57.7,8124,71,23,146.5
Kellen Lewis,34,565,981,57.6,6395,48,25,123.4
Patrick Towles,41,565,1032,54.7,6829,36,31,115.8
Omar Clayton,40,564,962,58.6,6560,48,30,126.1
Matthew Stafford,39,564,987,57.1,7731,51,33,133.3
Danny Etling,37,563,973,57.9,7076,43,19,129.6
Chase Garbers,33,563,905,62.2,6274,50,22,133.8
Jameis Winston,27,562,851,66,7964,65,28,163.3
Andrew Ford,28,560,895,62.6,6955,57,23,143.7
Shawn Bell,35,559,914,61.2,5666,38,17,123.2
Clayton Tune,31,558,906,61.6,7088,56,29,141.3
Nate Longshore,35,557,933,59.7,6775,51,31,132.1
Dillon Gabriel,26,554,913,60.7,8041,70,14,156.9
Jason Campbell,46,552,854,64.6,7299,45,24,148.2
Sean Canfield,35,552,861,64.1,5970,38,26,130.9
Austyn Carta-Samuels,39,552,884,62.4,6131,31,22,127.3
Ryan Mallett,37,552,955,57.8,8385,69,24,150.4
Kyle Trask,27,552,813,67.9,7386,69,15,168.5
Stephen Morris,36,551,955,57.7,7896,49,30,137.8
Brandon Cox,43,550,927,59.3,6959,42,32,130.4
Tanner Mangum,33,550,922,59.7,6262,39,24,125.5
Trevor Siemian,44,550,934,58.9,5931,27,24,116.6
Sam Darnold,27,549,846,64.9,7229,57,22,153.7
Sam B. Richardson,34,549,964,57,6050,45,25,119.9
Jason Gesser,33,548,983,55.7,8104,69,33,141.4
Chris Turner,33,547,918,59.6,6543,30,28,124.1
Colby Cameron,28,545,854,63.8,6417,45,13,141.3
Hayden Moore,33,545,955,57.1,6518,42,28,123
Jarrett Stidham,37,545,848,64.3,7217,48,13,151.4
Bryce Perkins,27,544,844,64.5,6210,47,21,139.7
Anthony Russo,29,543,908,59.8,6335,44,32,127.4
Drew Stanton,36,543,846,64.2,6524,42,28,138.7
Tommy Woodson,38,543,970,56,6864,53,32,126.9
Josh Betts,35,542,931,58.2,7044,54,30,134.5
James Blackman,38,542,900,60.2,6779,51,30,135.5
Blake Frohnapfel,32,542,953,56.9,6650,44,25,125.5
Ricky Stanzi,38,542,907,59.8,7377,56,31,141.6
Anthony Boone,44,540,923,58.5,5789,38,24,119.6
Tyler Bray,28,540,922,58.6,7444,69,28,145
Jon Beutjer,30,539,897,60.1,6031,45,27,127.1
Dustin Almond,44,538,1052,51.1,7342,51,28,120.4
Lester Ricard,31,538,954,56.4,6608,55,31,127.1
Kent Myers,38,536,877,61.1,6131,39,21,129.7
Scott Rislov,24,536,886,60.5,6267,40,19,130.5
Dru Brown,31,535,854,62.6,6083,44,16,135.7
Tanner Morgan,40,535,874,61.2,7764,55,25,150.9
Kurt Benkert,27,534,925,57.7,5817,46,21,122.4
John Stocco,39,534,934,57.2,7227,47,22,134.1
Tyree Jackson,32,533,955,55.8,6999,49,24,129.3
Omar Haugabook,25,532,868,61.3,5376,39,32,120.8
Giovanni Vizza,22,532,875,60.8,5146,32,36,114
Skylar Thompson,44,531,857,62,6865,39,16,140.5
Josh Adkins,30,530,886,59.8,5585,30,24,118.5
Malik Cunningham,44,530,845,62.7,7740,61,23,158
Feleipe Franks,37,530,860,61.6,6700,55,21,143.3
Bryce Petty,34,530,845,62.7,8195,62,10,166
Jeff Tuel,31,530,864,61.3,5932,33,25,125.8
Talmadge Hill,42,529,910,58.1,5902,44,42,119.3
B.J. Symons,29,529,822,64.4,6378,59,25,147.1
Jarrett Guarantano,43,527,857,61.5,6478,39,20,135.3
Dustin Crum,44,525,784,67,6702,48,8,156.9
Matt Moore,34,525,898,58.5,6700,33,32,126.1
Nathan Rourke,39,525,894,58.7,7457,60,20,146.5
Nick Starkel,34,525,908,57.8,6933,48,30,132.8
Skyler Howard,30,524,917,57.1,7302,60,24,140.4
Mike Hartline,31,523,855,61.2,5680,38,25,125.8
Omar Jacobs,24,523,811,64.5,6937,71,11,162.5
Levi Brown,23,522,830,62.9,6284,38,12,138.7
Kyle Boller,32,521,1041,50,6677,55,33,115
Ryan Willis,33,521,913,57.1,6152,44,31,122.8
John David Booty,34,518,832,62.3,6125,55,21,140.9
Cullen Harper,31,518,815,63.6,5762,42,20,135
Diondre Borel,42,517,922,56.1,6698,36,27,124.1
Ryan Higgins,34,516,812,63.5,6539,48,24,144.8
Chris Simms,35,516,875,59,6870,56,30,139.2
Jon Wassink,30,516,845,61.1,6482,50,18,140.8
Jameel Sewell,34,514,902,57,5366,24,22,110.9
Bryan Cupito,38,513,918,55.9,7446,55,25,138.3
Chad Kelly,27,513,803,63.9,6858,50,21,150.9
Brian Lindgren,31,513,839,61.1,6440,44,28,136.3
Matt McGloin,32,513,894,57.4,6390,46,19,130.2
Gus Ragland,37,513,849,60.4,6312,56,13,141.6
Mike McGann,40,512,1039,49.3,5967,25,50,95.8
Nick Fitzgerald,44,511,942,54.2,6207,55,30,122.5
Daniel Raudabaugh,29,511,916,55.8,5352,24,29,107.2
Alex Hornibrook,40,510,826,61.7,6424,54,35,140.2
Steven Moffett,36,510,860,59.3,6199,41,26,129.5
Kinsmon Lancaster,46,509,881,57.8,5749,38,32,119.6
Jordan Lynch,50,509,824,61.8,6209,51,14,142.1
Bryant Shirreffs,37,509,827,61.5,6392,31,19,134.2
James Vandenberg,32,507,888,57.1,5786,35,20,120.3
Pat White,49,507,783,64.8,6049,56,23,147.4
Tyler Hansen,33,506,872,58,5705,35,28,119.8
Gunner Kiel,28,505,833,60.6,6835,56,26,145.5
David Carr,24,502,792,63.4,6637,60,18,154.2
Brian Hoyer,37,500,896,55.8,6159,35,23,121.3
Jacoby Brissett,35,499,839,59.5,5723,46,15,131.3
Jake Heaps,37,497,908,54.7,5233,32,27,108.8
